time,follower_x,follower_y,follower_z,tag_x,tag_y,tag_z,set_x,set_y,set_z,distance
18.659,2.6104962825775146,2.4886059761047363,1.249941349029541,0.5848091840744019,2.579481363296509,1.2831921577453613,2.2724655189427216,2.497878507985785,1.2,2.0277244775953203
18.762,2.5576131343841553,2.476048707962036,1.2148919105529785,0.5675768256187439,2.5687460899353027,1.2587621212005615,2.210803698623625,2.5042852086198457,1.2,1.992194095671745
18.858,2.4768383502960205,2.468716621398926,1.1907600164413452,0.5688063502311707,2.563891649246216,1.233379602432251,2.158002738625691,2.493698965800486,1.2,1.9104042502039205
18.96,2.3919270038604736,2.471360445022583,1.1702916622161865,0.5762869715690613,2.5637714862823486,1.2086941003799438,2.0773377009542733,2.4886973915423014,1.2,1.817990244034845
19.064,2.3097360134124756,2.4587326049804688,1.1546658277511597,0.5936686396598816,2.556560754776001,1.173683762550354,1.9923752099339334,2.490290948715921,1.2,1.7188535650690382
19.164,2.232635021209717,2.4892101287841797,1.136639952659607,0.6370133757591248,2.545142412185669,1.1395851373672485,1.9102686611078645,2.479368361393641,1.2,1.596601658447391
19.266,2.180218458175659,2.513190746307373,1.1167685985565186,0.6777408123016357,2.525388240814209,1.114141821861267,1.8327432502511474,2.4985145105271576,1.2,1.5025271562349187
19.366,2.1367361545562744,2.5057790279388428,1.1436383724212646,0.7410518527030945,2.5319130420684814,1.116662621498108,1.7802523013376705,2.5183939553411845,1.2,1.395928958483893
19.468,2.1058387756347656,2.4993858337402344,1.163608193397522,0.787171483039856,2.503859281539917,1.1102418899536133,1.7871704712981178,2.505281773175298,1.2,1.318674880436723
19.57,2.0633621215820312,2.500521659851074,1.1548923254013062,0.8043816089630127,2.464792013168335,1.063686490058899,1.8040285256099173,2.4913634647345604,1.2,1.2594874111345933
19.658,2.025277614593506,2.470592975616455,1.1706116199493408,0.8189054727554321,2.4268031120300293,1.017365574836731,1.8171555339806442,2.485936987802383,1.2,1.2071666400111871
19.758,1.9636014699935913,2.430415391921997,1.1967977285385132,0.8119144439697266,2.3631811141967773,0.9853060841560364,1.8080190671146088,2.4513603620354387,1.2,1.153647889961632
19.857,1.8966374397277832,2.4255990982055664,1.1931359767913818,0.8278743028640747,2.3195395469665527,0.9687929749488831,1.8231427359749048,2.4167030486177024,1.2,1.0740126959807204
19.958,1.8497759103775024,2.429685115814209,1.1771234273910522,0.8178819417953491,2.249371290206909,0.9417734146118164,1.8047996203056207,2.4105962753794827,1.2,1.0475295881746567
20.059,1.8112744092941284,2.4124443531036377,1.1509835720062256,0.8414419889450073,2.181302547454834,0.9039000272750854,1.812417230417751,2.4204825642767815,1.2,0.9969962175850136
20.158,1.7983124256134033,2.4304006099700928,1.1342436075210571,0.8543887734413147,2.0896801948547363,0.8932009935379028,1.469564665351866,2.620373309468338,1.2,1.0035348835024496
20.267,1.7843815088272095,2.436210870742798,1.1168839931488037,0.8573853373527527,1.966424584388733,0.8776171803474426,1.4485709008962717,2.6245162092622056,1.2,1.0392406154373701
20.359,1.7966426610946655,2.435769557952881,1.0803258419036865,0.9811831712722778,2.6082987785339355,1.1238250732421875,1.47444802055734,2.1833448333853256,1.2,0.8335109546344878
20.457,1.7960199117660522,2.4354827404022217,1.0899008512496948,1.019018530845642,2.7450108528137207,1.207524299621582,1.4577079343091004,2.2233472168990396,1.2,0.836384360402112
20.558,1.8200520277023315,2.451904535293579,1.116050124168396,1.046278715133667,2.7720391750335693,1.226333737373352,1.9585764643206742,2.362511621835594,1.2,0.8373836198570745
20.657,1.7860249280929565,2.4678754806518555,1.1239100694656372,1.0961174964904785,2.7989373207092285,1.3140366077423096,1.9978619204382828,2.3666677359833974,1.2,0.7652282052580796
20.757,1.7630378007888794,2.474644422531128,1.164404273033142,1.0968867540359497,2.7941017150878906,1.332729458808899,1.9976883309970308,2.3663058027090265,1.2,0.7387896715965383
20.866,1.7352795600891113,2.469468116760254,1.204472303390503,1.0953670740127563,2.7614905834198,1.3807628154754639,1.9985656382485089,2.3616954364965705,1.2,0.7033954157302611
20.958,1.7052867412567139,2.4312498569488525,1.2495824098587036,1.057795763015747,2.7676219940185547,1.417075753211975,2.005114950905018,2.346329409307839,1.2,0.7296511368457412
21.057,1.7171485424041748,2.3993306159973145,1.300814151763916,1.055688738822937,2.7603611946105957,1.4751790761947632,1.9451937886531083,2.30661793319597,1.2,0.7535729231120041
21.157,1.7416901588439941,2.343890905380249,1.398496150970459,1.070819616317749,2.7724838256835938,1.52311110496521,1.9334535619665687,2.2812694338260577,1.2,0.7960899296961416
21.257,1.772969126701355,2.2854578495025635,1.416766881942749,1.0626955032348633,2.760237216949463,1.550112247467041,1.913526598909915,2.234111332431564,1.2,0.8543442326986808
21.356,1.8059972524642944,2.2684385776519775,1.4197719097137451,1.0773909091949463,2.7321178913116455,1.5620042085647583,1.8940625287052613,2.20451348256294,1.2,0.8636351714515985
21.458,1.8477360010147095,2.252640962600708,1.3722895383834839,1.1023154258728027,2.665637969970703,1.5592331886291504,1.5512574287795406,2.576833814692144,1.2,0.8521844647383938
21.557,1.893367886543274,2.2388241291046143,1.325209140777588,1.1412760019302368,2.5810060501098633,1.5503175258636475,1.5786240384819012,2.5485780363541335,1.2,0.8262751781117671
21.657,1.9209221601486206,2.2380480766296387,1.2597315311431885,1.1543611288070679,2.501436710357666,1.5598217248916626,1.6593488734291024,2.5632237306781507,1.2,0.8105488184856863
21.758,1.8134263753890991,1.8350286483764648,1.6545026302337646,1.229002833366394,2.423816442489624,1.5649707317352295,1.5862398204221753,2.4571090988933726,1.2,0.8295914313485913
21.856,1.651414394378662,1.7747663259506226,1.840708613395691,1.3535960912704468,2.7337255477905273,1.6139978170394897,1.413670794722469,1.8210473849898723,1.2,1.0041406927408392
21.956,1.5514987707138062,1.829868197441101,1.8934556245803833,1.3327184915542603,3.040550947189331,1.5309085845947266,1.4006054252103106,2.042857926145895,1.2,1.2302916447278118
22.057,1.475009799003601,1.862284779548645,1.8334074020385742,1.3490595817565918,3.2553186416625977,1.4942368268966675,1.3335634347412522,2.165284639099124,1.2,1.3987161249591296
22.156,1.4123538732528687,1.922951102256775,1.6955374479293823,1.3742693662643433,3.4320971965789795,1.4492897987365723,1.3209881167965163,2.2314423629870728,1.2,1.5096265643133482
22.257,1.370313286781311,1.9646081924438477,1.5829970836639404,1.396406650543213,3.5746378898620605,1.399670124053955,1.3134006392199395,2.3105182028657203,1.2,1.6102411279684148
22.378,1.353165864944458,2.024554491043091,1.498528242111206,1.4182896614074707,3.6382129192352295,1.3029102087020874,1.3817751745931965,2.3644439401300543,1.2,1.6149720219685788
